1.06338E+05,3.01967E+00,-1.98572E-01,3.02619E+00,-3.76233E+00
8.13176E+04,3.14778E+00,-5.15883E-01,3.18977E+00,-9.30734E+00
6.28364E+04,3.27454E+00,-8.16927E-01,3.37490E+00,-1.40081E+01
5.31692E+04,3.37364E+00,-1.00929E+00,3.52138E+00,-1.66556E+01
4.06588E+04,3.55235E+00,-1.33948E+00,3.79650E+00,-2.06599E+01
3.14182E+04,3.84526E+00,-1.71988E+00,4.21236E+00,-2.40977E+01
2.46857E+04,4.08876E+00,-2.08073E+00,4.58774E+00,-2.69711E+01
1.97486E+04,4.20239E+00,-2.39050E+00,4.83473E+00,-2.96331E+01
1.57091E+04,4.48530E+00,-2.78716E+00,5.28074E+00,-3.18568E+01
1.23429E+04,4.83763E+00,-3.25835E+00,5.83262E+00,-3.39619E+01
1.01647E+04,5.17313E+00,-3.68070E+00,6.34892E+00,-3.54320E+01
7.85455E+03,5.70595E+00,-4.32236E+00,7.15826E+00,-3.71446E+01
6.17143E+03,6.32295E+00,-4.98498E+00,8.05169E+00,-3.82521E+01
4.80000E+03,7.12406E+00,-5.75659E+00,9.15918E+00,-3.89399E+01
3.84000E+03,7.99615E+00,-6.47362E+00,1.02882E+01,-3.89934E+01
3.03158E+03,9.12479E+00,-7.23276E+00,1.16437E+01,-3.84021E+01
2.40000E+03,1.04509E+01,-7.92431E+00,1.31155E+01,-3.71709E+01
1.89890E+03,1.19977E+01,-8.48292E+00,1.46937E+01,-3.52621E+01
1.50261E+03,1.36843E+01,-8.86304E+00,1.63038E+01,-3.29303E+01
1.18356E+03,1.54827E+01,-8.97251E+00,1.78947E+01,-3.00931E+01
9.39130E+02,1.72182E+01,-8.84623E+00,1.93577E+01,-2.71928E+01
7.44828E+02,1.88580E+01,-8.49197E+00,2.06818E+01,-2.42426E+01
6.00000E+02,2.02188E+01,-8.01634E+00,2.17500E+01,-2.16273E+01
4.69565E+02,2.15352E+01,-7.38975E+00,2.27678E+01,-1.89395E+01
3.72414E+02,2.25772E+01,-6.79058E+00,2.35763E+01,-1.67398E+01
2.91892E+02,2.35058E+01,-6.22079E+00,2.43150E+01,-1.48234E+01
2.32258E+02,2.42434E+01,-5.76550E+00,2.49195E+01,-1.33774E+01
1.83051E+02,2.49133E+01,-5.39544E+00,2.54908E+01,-1.22198E+01
1.44966E+02,2.55109E+01,-5.13865E+00,2.60233E+01,-1.13887E+01
1.14286E+02,2.60955E+01,-4.98922E+00,2.65682E+01,-1.08238E+01
9.15254E+01,2.66423E+01,-4.95354E+00,2.70989E+01,-1.05326E+01
7.20000E+01,2.72992E+01,-5.02956E+00,2.77587E+01,-1.04390E+01
5.68421E+01,2.78040E+01,-5.01237E+00,2.82522E+01,-1.02192E+01
4.50000E+01,2.84258E+01,-5.17158E+00,2.88924E+01,-1.03112E+01
3.57616E+01,2.88779E+01,-5.47761E+00,2.93928E+01,-1.07404E+01
2.82723E+01,2.97252E+01,-5.73993E+00,3.02743E+01,-1.09293E+01
2.23140E+01,3.05698E+01,-6.04672E+00,3.11621E+01,-1.11887E+01
1.80000E+01,3.13650E+01,-6.36668E+00,3.20047E+01,-1.14744E+01
1.40625E+01,3.23572E+01,-6.78972E+00,3.30619E+01,-1.18508E+01
1.12500E+01,3.33282E+01,-7.20218E+00,3.40975E+01,-1.21940E+01
8.82353E+00,3.44737E+01,-7.66328E+00,3.53152E+01,-1.25327E+01
7.03125E+00,3.56497E+01,-8.10187E+00,3.65587E+01,-1.28038E+01
5.48780E+00,3.70337E+01,-8.56862E+00,3.80121E+01,-1.30275E+01
4.36893E+00,3.84242E+01,-8.96351E+00,3.94558E+01,-1.31310E+01
3.46154E+00,3.99134E+01,-9.30777E+00,4.09843E+01,-1.31267E+01
2.72727E+00,4.14647E+01,-9.57505E+00,4.25559E+01,-1.30028E+01
2.16346E+00,4.29742E+01,-9.75162E+00,4.40667E+01,-1.27849E+01
1.71756E+00,4.44550E+01,-9.89744E+00,4.55435E+01,-1.25516E+01
1.35542E+00,4.57975E+01,-1.00036E+01,4.68773E+01,-1.23217E+01
1.07143E+00,4.71976E+01,-9.92677E+00,4.82302E+01,-1.18775E+01
8.52273E-01,4.82443E+01,-1.04934E+01,4.93723E+01,-1.22710E+01
6.73653E-01,4.93024E+01,-1.07732E+01,5.04657E+01,-1.23261E+01
5.30660E-01,5.09088E+01,-1.21000E+01,5.23270E+01,-1.33700E+01
4.22932E-01,5.18344E+01,-1.28810E+01,5.34109E+01,-1.39555E+01
3.32840E-01,5.35546E+01,-1.38642E+01,5.53201E+01,-1.45141E+01
2.64085E-01,5.45173E+01,-1.54085E+01,5.66530E+01,-1.57822E+01
2.09497E-01,5.57072E+01,-1.74776E+01,5.83846E+01,-1.74187E+01
1.65198E-01,5.73764E+01,-2.04605E+01,6.09154E+01,-1.96263E+01
1.30814E-01,5.87292E+01,-2.37985E+01,6.33679E+01,-2.20590E+01
1.03401E-01,6.05085E+01,-2.77653E+01,6.65747E+01,-2.46488E+01
8.22368E-02,6.28062E+01,-3.31413E+01,7.10138E+01,-2.78195E+01
6.50289E-02,6.53764E+01,-3.93698E+01,7.63155E+01,-3.10564E+01
5.13933E-02,6.88184E+01,-4.71226E+01,8.34057E+01,-3.44009E+01
4.06284E-02,7.33775E+01,-5.65979E+01,9.26692E+01,-3.76439E+01
3.22719E-02,7.93420E+01,-6.84270E+01,1.04773E+02,-4.07755E+01
2.56323E-02,8.74081E+01,-8.30868E+01,1.20597E+02,-4.35481E+01
2.02703E-02,9.88265E+01,-1.17106E+02,1.53233E+02,-4.98388E+01
1.60462E-02,1.01391E+02,-1.14070E+02,1.52617E+02,-4.83677E+01
1.26646E-02,1.16846E+02,-1.37735E+02,1.80621E+02,-4.96908E+01
1.00125E-02,1.37757E+02,-1.61367E+02,2.12170E+02,-4.95130E+01
